V001	V002	V003	V004	V005	V006	V007	V008	V009	V010	V011	V012	V013	V014	V015	V016	V017	V018	V019	V020	V021	V022	V023	V024	V025	V026	V027	V028	V029	V030	V031	V032	V033	V034	V035	V036	V037	V038	V039	V040	V041	V042	V043	V044	V045	V046	V047	V048	V049	V050	V051	V052	V053	V054	V055	V056	V057	V058	V059	V060	V061	V062	V063	V064	V065	V066	V067	V068	V069	V070	V071	V072	V073	V074	V075	V076	V077	V078	V079	V080	V081	V082	V083	V084	V085	V086	V087	V088	V089	V090	V091	V092	V093	V094	V095	V096	V097	V098	V099	V100	V101	V102	V103	V104	V105	V106	V107	V108	V109	V110	V111	V112	V113	V114	V115	V116	V117	V118	V119	V120	V121	V122	V123	V124	V125	V126	V127	V128	V129	V130	V131	V132	V133	V134	V135	V136	V137	V138	V139	V140	V141	V142	V143	V144	V145	V146	V147	V148	V149	V150	V151	V152	V153	V154	V155	V156	V157	V158	V159	V160	V161	V162	V163	V164	V165	V166	V167	V168	V169	V170	V171	V172	V173	V174	V175	V176	V177	V178	V179	V180	V181	V182	V183	V184	V185	V186	V187	V188	V189	V190	V191	V192
11	-1.5	1	2.5	2	-4	1	1.5	0	0	.5	.5	-1	-3	1.5	0	0	.5	1	-.5	0	0	0	0	-.5	-.5	-3	.045	356000	3	1	0	0	0	0	0	0	0	.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.5	0	0	0	0	0	0	0	0	0	0	0	.5	.5	0	0	-1	0	.5	0	0	-.5	0	0	-.5	0	0	-1	0	-1	-1	-6	1	-1.5	1	-4.5	1	-1	0	0	0	-1	-1	-3	-1	0	0	0	0	-.5	0	0	0	0	-1	-.5	-3	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-.5	0	0	-.5	0	0	-1	0	-1	-1	1	0	0
12	29.25	5	13.5	4	15.75	5	4	7	0	6	6.5	4	1.75	3	3.5	0	3	2	2	1	3.5	0	3	4.5	2	1.75	.046	52000	4	1	0	.25	0	.25	0	.5	.5	.5	0	.5	.5	1	1	1	0	.5	0	1	1	1	0	.5	0	0	0	0	0	0	0	0	0	0	0	1	.5	0	0	1	.5	1	.5	0	0	1	.5	1	.5	.5	1	1	1	.5	.5	.5	1	0	1	1	0	1	0	.75	0	1	0	6	2	5.5	3	.5	2	.5	5.5	0	1	-1	2	-2	.5	3.5	0	.5	0	1	0	2	0	.5	-1	1	-2	.5	-.5	0	.25	0	.25	0	0	0	0	0	0	0	1	1	1	0	.5	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.5	0	0	0	0	0	.5	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	1	0	0	0	-1	0	-1	0	1	1	1
13	2.75	2	2.75	2	0	2	2.5	1.5	-1	1	-.5	-1	.25	2.5	.75	-.5	.5	0	-.5	0	.75	-.5	.5	-.5	-.5	.25	.028	36000	4	1	0	0	0	0	1	0	0	.5	0	0	0	.25	.25	.25	0	0	0	.25	.25	.25	0	0	0	1	0	-.5	0	0	0	0	-.5	0	0	0	0	0	0	0	.5	0	0	0	0	0	.5	0	0	0	0	0	0	-.5	0	0	0	-.5	0	0	-.5	0	0	.25	0	1	-1	-6	1	-2	1	-4	1	-1	0	-1	0	0	-1	-3	-1	0	-.5	0	0	-.5	0	0	-.5	0	0	-.5	-3	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-.5	0	0	0	0	-.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-.5	0	0	-.5	0	0	-1	0	-1	-1	1	1	0
14	29.5	5	14.5	5	15	5	5	9	-3	8	5.5	3	2	4	4.5	-1.5	4	2	1.5	1	4.5	-1.5	4	3.5	1.5	2	.043	426000	1	1	0	0	0	0	1	.5	.5	1	0	.5	.5	1	1	1	1	.5	0	1	1	1	1	.5	0	1	1	-.5	0	-1	0	0	-.5	0	-1	1	1	0	0	1	1	1	1	0	0	1	1	1	.5	.5	1	1	1	0	.5	0	1	-.5	1	1	-.5	1	0	1	0	1	0	11.5	3	8.5	3	3	2	2.5	9	-1	3	1	0	-3	1.5	4.5	-.5	1.5	1	.5	1	4.5	-.5	1.5	0	-.5	-3	0	-.5	0	0	0	0	1	.5	.5	0	0	.5	.5	1	1	1	1	.5	0	1	1	1	1	.5	0	1	0	-.5	0	0	0	0	-.5	0	0	1	0	0	0	0	.5	1	0	0	0	0	.5	1	0	0	1	0	-1	0	0	0	1	-.5	0	0	-.5	0	0	-1	0	-1	-1	1	1	1
15	7	2	5.25	3	1.75	2	4	2.5	-1	1	2	-2	.5	4	1.25	-.5	.5	1	-1	0	1.25	-.5	.5	1	-1	.5	.045	229000	1	1	0	0	0	0	1	.5	.5	.5	.5	0	0	.25	.25	.25	0	.5	0	.25	.25	.25	0	.5	0	1	0	-.5	0	0	0	0	-.5	0	0	0	0	0	0	0	.5	0	0	0	0	0	.5	0	.5	.5	0	0	0	.5	.5	0	0	-1	0	0	-1	0	.5	.5	0	.5	-1	-2.5	1	0	2	-2.5	1	.5	1	0	0	0	-2	-2	.5	.5	0	0	0	-1	0	.5	0	0	0	-1	-2	0	-.5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	.5	0	0	0	0	0	.5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	-1	1	1	0
16	17	3	11	4	6	3	3.5	9	0	5	1.5	0	-2	2.5	4.5	0	2.5	1	.5	1	4.5	0	2.5	.5	-.5	-2	.036	87000	1	1	0	0	0	0	0	.5	.5	.5	0	.5	.5	1	1	1	1	.5	0	1	1	1	1	.5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	.5	1	1	0	0	0	.5	0	.5	.5	0	0	0	0	.5	0	1	-.5	0	0	-.5	0	0	-1	0	-1	0	13.5	3	9.5	4	4	2	3.5	9	0	5	-1	-1	-2	2.5	4.5	0	2.5	0	0	1	4.5	0	2.5	-1	-1	-2	1	0	0	0	0	0	.5	.5	.5	0	0	.5	.5	1	1	1	1	.5	0	1	1	1	1	.5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	.5	1	1	0	0	0	.5	0	0	0	0	0	-1	0	0	0	1	-1	0	0	-1	0	0	-1	0	-1	0	1	0	0
17	3.75	2	2.75	2	1	2	2.5	2.5	-3.5	0	0	1	1.25	2.5	1.25	-2	0	0	1	0	1.25	-1.5	0	0	0	1.25	.033	73000	1	1	0	0	0	0	0	0	0	.5	1	0	0	.25	.25	.25	0	.5	0	.25	.25	.25	0	.5	0	1	1	-.5	-1	0	-.5	0	-.5	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	.25	0	1	0	.5	2	1	2	-.5	1	-.5	1	0	0	0	1	-1	-.5	.5	0	0	0	1	0	.5	0	0	0	0	-1	0	-.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.5	0	0	0	0	0	.5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	1	0	0
18	4.75	2	4.5	2	.25	2	2.25	2.5	-1	0	2	0	-1	2.25	1.25	-.5	0	1	.5	0	1.25	-.5	0	1	-.5	-1	.034	117000	3	1	0	0	0	.25	0	0	0	.5	.5	0	0	.25	.25	.25	0	.5	0	.25	.25	.25	0	.5	0	1	0	-.5	0	0	0	0	-.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.5	.5	0	0	0	.5	.5	0	1	-.5	0	0	-.5	0	0	-1	0	-1	1	-.75	1	.25	2	-1	1	-.75	1	0	0	0	0	-1	-.75	.5	0	0	0	.5	0	.5	0	0	0	-.5	-1	0	-1	0	0	0	.25	0	0	0	0	0	0	0	0	0	0	0	.5	0	0	0	0	0	.5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-.5	0	0	-.5	0	0	-1	0	-1	1	1	1	0
19	-2.5	1	1	2	-3.5	1	1.5	0	-1	-1.5	.5	-1	-1	1.5	0	-.5	-.5	.5	0	0	0	-.5	-1	0	-1	-1	.039	139000	3	1	0	0	0	0	0	0	0	.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-.5	0	0	0	0	-.5	0	0	0	0	-1	0	0	.5	0	0	-1	0	0	0	0	.5	0	0	0	0	-.5	.5	0	1	-1	0	0	-1	0	0	-1	0	-1	1	-5	1	-2	1	-3	1	-1	0	0	-2	0	-1	-1	-1	0	0	-1	0	0	0	0	0	-1	0	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	-1	0	0	-1	0	-1	1	1	0	0
20	32.5	5	17.5	5	15	5	7	9	0	7	5	4	.5	6	4.5	0	3.5	1.5	2	1	4.5	0	3.5	3.5	2	.5	.049	53000	2	1	0	.5	0	.5	1	.5	.5	1	1	.5	.5	1	1	1	1	.5	0	1	1	1	1	.5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	.5	1	1	0	0	1	.5	1	0	.5	1	1	1	0	0	.5	1	0	1	1	0	1	.5	1	0	-1	0	14.25	3	10.25	4	4	2	4.25	9	0	3	-1	1	-2	3.25	4.5	0	1.5	0	1	1	4.5	0	1.5	-1	0	-2	.5	0	0	.25	0	.5	1	.5	.5	0	0	.5	.5	1	1	1	1	.5	0	1	1	1	1	.5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	.5	1	0	0	0	0	.5	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	-1	0	-1	0	1	1	1
21	25.75	4	11.75	4	14	4	4.75	7	0	6	4.5	1	2.5	3.75	3.5	0	3	1	.5	1	3.5	0	3	3.5	.5	2.5	.042	198000	3	1	0	0	0	.25	0	.5	.5	.5	1	.5	.5	1	1	1	0	.5	0	1	1	1	0	.5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	1	0	.5	.5	0	1	1	.5	.5	.5	1	-.5	0	1	-.5	0	.5	1	0	1	0	7.25	2	7.5	3	-.25	1	2	4	0	2.5	-1.5	1	-.75	2	3.5	0	1.5	0	.5	0	.5	0	1	-1.5	.5	-.75	.5	-.5	0	0	0	0	0	.5	.5	0	1	0	0	1	1	1	0	.5	0	0	0	0	0	.5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	.5	0	1	0	0	0	0	0	0	0	0	0	-1	-.5	0	0	1	-.5	0	1	-.5	0	0	.25	0	-1	0	1	1	1
22	32.5	5	15.25	5	17.25	5	6.5	9	0	7.5	5.5	1.5	2.5	5.5	4.5	0	3.5	1	.75	1	4.5	0	4	4.5	.75	2.5	.054	296000	2	1	1	.5	1	.5	1	.5	.5	.5	1	.5	.5	1	1	1	1	.5	0	1	1	1	1	.5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	.5	1	1	0	0	1	1	0	.5	.5	1	1	1	.5	.5	.5	1	-.25	0	1	-.25	0	.5	1	0	1	0	8.75	2	10.25	4	-1.5	1	3.5	4.5	0	1.5	-1	.5	-.25	3.5	4.5	0	1.5	0	.75	0	0	0	0	-1	-.25	-.25	1	0	0	0	0	0	1	.5	.5	.5	0	0	0	1	1	1	1	.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	.5	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	-.25	0	0	-.25	0	0	.75	0	-1	0	1	1	1
23	11.5	3	5.5	3	6	3	3.5	5.5	-2	2.5	3	-1	0	2.5	2.75	-1	1.25	.5	-.5	1	2.75	-1	1.25	2.5	-.5	0	.04	311000	1	1	0	0	0	0	0	.5	.5	.5	0	.5	.5	.75	.75	.75	0	.5	0	.75	.75	.75	0	.5	0	0	1	0	-1	0	0	0	0	-1	0	.75	0	0	0	0	.5	.75	0	0	0	0	.5	0	0	.5	0	1	1	0	0	.5	0	-.5	0	0	-.5	0	0	1	0	-1	0	0	2	.5	2	-.5	1	1	1	0	1	0	-1	-2	0	.5	0	.5	0	-.5	1	.5	0	.5	0	-.5	-2	0	-1	0	0	0	0	0	.5	.5	0	0	.5	.5	0	0	0	0	.5	0	0	0	0	0	.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.5	0	0	0	0	0	.5	0	0	0	0	0	0	0	0	0	0	-.5	0	0	-.5	0	0	-1	0	-1	0	1	1	0
